synergy_id,synergy_name,synergy_Unit1,synergy_Unit2,synergy_Unit3,skill_target,effect_type1,effect_val1,effect_type2,effect_val2,effect_type3,effect_val3,synergy_required,synergy_info
501,메인보컬즈,1,1,0,1,3001,0.1,0,0,0,0,보컬 + 보컬,기본 공격력 {0} 강화
502,메인래퍼즈,2,2,0,1,3002,0.1,0,0,0,0,랩 + 랩,기본 공격 속도 {0} 증가
503,메인카리스마즈,3,3,0,1,3003,0.1,0,0,0,0,카리스마 + 카리스마,기본 공격 사거리 {0} 증가
504,입덕몰이즈,4,4,0,1,3004,0.1,0,0,0,0,큐티 + 큐티,추가 기본 공격 확률 {0} 증가
505,메인댄서즈,5,5,0,1,3005,0.1,0,0,0,0,댄스 + 댄스,체력 {0} 증가
506,센터즈,6,6,0,1,3006,0.1,0,0,0,0,비주얼 + 비주얼,치명타 확률 {0} 증가
507,으른즈,7,7,0,1,3007,0.1,0,0,0,0,섹시 + 섹시,치명타 피해량 {0} 증가
508,올라운더즈,1,2,5,2,3008,1,0,0,0,0,보컬 + 랩 + 댄스,함성 게이지 증가량 {0}배
509,비주얼드리머즈,4,6,7,2,3009,1,0,0,0,0,비주얼 + 섹시 + 큐티,몬스터 드랍 {0}배
512,카리스매틱스테퍼즈,3,2,5,2,3010,-0.1,0,0,0,0,카리스마 + 랩 + 댄스,적군 이동 속도 {0} 감소
514,카리스매틱플로우즈,3,4,7,2,3002,-0.1,0,0,0,0,카리스마 + 큐티 + 섹시,적군 공격 속도 {0} 감소
